Energy, CROSS_TOTAL
200.8426311741751, 52.91916401737814
208.95619933063392, 54.746675943867615
211.10815656298868, 54.72451289686978
218.56057439568846, 57.36602592867382
220.55015986785693, 59.92386236819891
227.8335450466634, 59.716505977122836
229.8204754673489, 60.1103795788199
237.7682966035244, 61.76693212535298
240.0831747210946, 59.6123263205655
247.21957684178935, 62.26196754113323
249.85214362019195, 61.46274725543083
256.931694991194, 63.77203616648029
259.95201646948397, 63.174141987723544
265.91293181153844, 64.45689247192502
269.7199187305073, 64.15521437382671
275.67671143175187, 62.077863721145604
279.6523704267192, 64.33117104046016
284.616002612158, 62.3052206376841
289.91206121410227, 61.38110905492778
294.54322290607297, 58.21739551595738
301.50683939607103, 56.84633258097597
303.64780241109963, 58.24185828288182
311.5864638860521, 52.43295615892549
314.2314776760434, 49.51315002203745
321.51281162778446, 47.63396949872623
323.82652531140434, 44.530307974427615
331.44138392970916, 44.64807972860291
333.7554671301932, 41.84558779257003
341.3668976833636, 39.16936266797279
343.5187609677429, 39.070628628251825
350.6307058315888, 34.05207209908258
352.9457903150335, 32.06566193426539
359.5646844818916, 29.949525135364183
362.09844297177017, 26.29853016005609
368.9112597754034, 24.831023058484107
371.6406737893376, 23.24102349221795
377.6229896159248, 22.691820598152162
380.9063399408145, 19.638072669772953
387.5527649492037, 20.686444825583635
391.1667730770403, 17.293051798763656
402.08833623194914, 14.117480452242148
411.6883182079731, 13.156304233842036
420.7896332095445, 10.520078796982773
424.97909583423206, 7.139268405164557
426.4133593812025, 6.81917404746082
434.0271040026554, 6.028998138709767
441.68794870462966, 5.078846559460999
444.2869315385095, 3.1903910953263903
448.42801711242964, 5.353486538384061
# Arends et all 1984
