T22,,toperr,
X,Y,X,Y
26.541436464088402,0.5421348314606753,26.541436464088402,0.8202247191011214
30.07734806629835,0.35112359550561845,30.07734806629835,0.4831460674157295
33.87845303867404,0.28651685393258397,33.87845303867404,0.38483146067415763
37.59116022099448,0.14325842696629199,37.679558011049735,0.24438202247191043
41.39226519337017,0.36516853932584237,41.39226519337017,0.49157303370786654
44.92817679558012,0.3005617977528088,45.01657458563537,0.606741573033708
80.64088397790059,-0.09550561797752799,80.64088397790054,0.030898876404494402
84.17679558011052,-0.14887640449438155,84.17679558011051,-0.0926966292134841
87.71270718232046,-0.24438202247190954,87.71270718232047,-0.19943820224719033
91.69060773480669,-0.22191011235955038,91.77900552486194,-0.1713483146067416
95.66850828729284,-0.14325842696629199,95.84530386740332,-0.0786516853932584
99.55801104972377,-0.3174157303370784,99.64640883977899,-0.22191011235955038
