raczek T22,,raczek T22 toperr,,mishev T22,,mishev toperr,
X,Y,X,Y,X,Y,X,Y
39.85056039850561,-0.25106382978723407,40.34869240348695,-0.2085106382978723,39.85056039850561,-0.527659574468085,39.85056039850562,-0.40212765957446805
62.764632627646336,-0.5638297872340426,62.76463262764631,-0.5170212765957446,64.7571606475716,-0.5340425531914893,65.25529265255292,-0.4340425531914893
104.60772104607719,-0.9808510638297874,105.10585305105855,-0.9170212765957446,107.09838107098386,-0.7297872340425533,107.0983810709838,-0.6127659574468084
150.43586550435862,-1.0297872340425531,150.93399750934,-0.9276595744680851,145.95267745952677,-1.1468085106382977,145.95267745952677,-0.9914893617021276
190.78455790784557,-1.0340425531914894,191.28268991282692,-0.9361702127659575,183.31257783312577,-0.9170212765957446,184.30884184308843,-0.7574468085106383
239.6014943960149,-0.9595744680851064,239.1033623910336,-0.8617021276595744,230.13698630136986,-0.6702127659574467,229.63885429638856,-0.5148936170212767
299.8754669987547,-0.8787234042553191,299.37733499377333,-0.7723404255319148,295.8904109589041,-0.8404255319148937,295.8904109589041,-0.6787234042553192
391.03362391033625,-0.7638297872340425,391.03362391033625,-0.5787234042553191,378.0821917808219,-1.0106382978723405,378.0821917808219,-0.7446808510638296
