angle,CROSS,error,fname,energy
37.904192,5.4920798,0.21216849,Exp100_2.dat,100
42.754491,6.1177863,0.2433386,Exp100_2.dat,100
56.227545,6.7839236,0.24960998,Exp100_2.dat,100
60.179641,5.6121268,0.23712949,Exp100_2.dat,100
83.532934,6.2442479,0.31825273,Exp100_2.dat,100
103.83234,5.4150918,0.1434946,Exp100_2.dat,100
128.98204,3.2147624,0.13725435,Exp100_2.dat,100
133.29341,3.4533865,0.46801872,Exp100_2.dat,100
149.46108,2.1235781,0.59906396,Exp100_2.dat,100
2.5149701,4.5188126,0.53042122,Exp100n.dat,100
7.3652695,4.6952211,0.53042122,Exp100n.dat,100
14.550898,4.9098807,0.39937598,Exp100n.dat,100
19.221557,5.0113439,0.24336973,Exp100n.dat,100
24.071856,5.1503109,0.35569423,Exp100n.dat,100
30.179641,5.6017263,0.23712949,Exp100n.dat,100
35.02994,5.2539539,0.2308581,Exp100n.dat,100
49.580838,6.2574383,0.29329173,Exp100n.dat,100
56.227545,6.4968721,0.48053036,Exp100n.dat,100
62.51497,7.0731548,0.11856474,Exp100n.dat,100
64.850299,6.0755245,0.59906396,Exp100n.dat,100
15.447015,9.8888889,0.5,Exp30.dat,30
33.56791,16.888889,1.0,Exp30.dat,30
43.100498,25.833333,0.66666667,Exp30.dat,30
59.800498,35.5,1.3055556,Exp30.dat,30
89.538806,37.055556,0.91666667,Exp30.dat,30
119.58109,26.5,1.2222222,Exp30.dat,30
134.58358,17.055556,1.0,Exp30.dat,30
149.59975,10.666667,0.88888889,Exp30.dat,30
164.62587,6.5,0.5,Exp30.dat,30
33.572388,17.888889,1.4722222,Exp30_2.dat,30
47.93607,25.777778,2.0,Exp30_2.dat,30
94.372388,36.555556,2.0,Exp30_2.dat,30
124.56219,18.944444,1.5833333,Exp30_2.dat,30
138.69353,14.944444,1.6944444,Exp30_2.dat,30
153.35124,8.5,0.91666667,Exp30_2.dat,30
32.5,4.73,0.12,Exp140.dat,140
55.0,5.58,0.15,Exp140.dat,140
80.0,4.92,0.09,Exp140.dat,140
105.0,3.47,0.08,Exp140.dat,140
130.0,2.91,0.06,Exp140.dat,140
37.904192,6.3532342,0.14352574,Exp100.dat,100
90.179641,6.0468642,0.11232449,Exp100.dat,100
112.81437,5.2684397,0.13104524,Exp100.dat,100
136.70659,3.6168163,0.21219963,Exp100.dat,100
32.5,6.32,0.14,Exp100_3.dat,100
55.0,7.02,0.09,Exp100_3.dat,100
80.0,6.03,0.09,Exp100_3.dat,100
105.0,5.25,0.08,Exp100_3.dat,100
130.0,3.62,0.09,Exp100_3.dat,100
