cutoff,force,RATE
4,0,3271163429326644.5
2,2,1433245045402859.0
2,3,1236742512090365.5
2,4,1242533419460135.5
1,1,2402156111324282.0
2,1,2059324372766839.8
3,1,1805623472801499.0
3,4,1158935754501081.0
3,2,1003253266212645.4
1,3,1501576436446388.5
3,0,3495808651295871.0
1,0,3558449324719824.0
3,3,1245894856068434.8
4,4,1173088978785260.5
4,5,1247418267620027.5
2,5,1292481917347095.2
4,1,1604832623630750.0
1,4,1467355570557753.5
2,0,3613300457538329.5
1,2,2021141808869010.8
3,5,1224261509713430.5
4,3,1416918062624354.8
1,5,1483796873073817.2
4,2,749076538706615.4
